format, deserializerTime, limit, loaderTime, dataLength, dataLoader, deserializer, 
xml, 0.02380198240280151, 50, 0.1128129959106445, 26807, ASIHTTPRequest, NSXMLParser, 
xml, 0.05281400680541992, 100, 0.120386004447937, 53132, ASIHTTPRequest, NSXMLParser, 
xml, 0.07837098836898804, 150, 0.1456480026245117, 79661, ASIHTTPRequest, NSXMLParser, 
xml, 0.1055999994277954, 200, 0.1576160192489624, 106476, ASIHTTPRequest, NSXMLParser, 
xml, 0.02371197938919067, 50, 0.1615720391273499, 26376, ASIHTTPRequest, TouchXML, 
xml, 0.04237103462219238, 100, 0.1385560035705566, 53117, ASIHTTPRequest, TouchXML, 
xml, 0.06272196769714355, 150, 0.1459230184555054, 79370, ASIHTTPRequest, TouchXML, 
xml, 0.07949995994567871, 200, 0.1511440277099609, 105687, ASIHTTPRequest, TouchXML, 
xml, 0.0166810154914856, 50, 0.1085959672927856, 26474, ASIHTTPRequest, LibXMLDom, 
xml, 0.03053003549575806, 100, 0.1297770142555237, 53589, ASIHTTPRequest, LibXMLDom, 
xml, 0.04405403137207031, 150, 0.1512519717216492, 78898, ASIHTTPRequest, LibXMLDom, 
xml, 0.05696296691894531, 200, 0.1508110165596008, 106525, ASIHTTPRequest, LibXMLDom, 
xml, 0.02312302589416504, 50, 0.1103859543800354, 26455, ASIHTTPRequest, LibXMLSAX, 
xml, 0.0425260066986084, 100, 0.1272770166397095, 52800, ASIHTTPRequest, LibXMLSAX, 
xml, 0.06554096937179565, 150, 0.1347159743309021, 78947, ASIHTTPRequest, LibXMLSAX, 
xml, 0.08484703302383423, 200, 0.1511220335960388, 106180, ASIHTTPRequest, LibXMLSAX, 
csv, 0.02404904365539551, 50, 0.1018639802932739, 13589, ASIHTTPRequest, CSV, 
csv, 0.03897702693939209, 100, 0.1128029823303223, 26907, ASIHTTPRequest, CSV, 
csv, 0.05093497037887573, 150, 0.1129230260848999, 40344, ASIHTTPRequest, CSV, 
csv, 0.06734699010848999, 200, 0.1160439848899841, 53964, ASIHTTPRequest, CSV, 
xml, 0.009661018848419189, 50, 0.1146959662437439, 26640, ASIHTTPRequest, TBXML, 
xml, 0.01867103576660156, 100, 0.1299899816513062, 52981, ASIHTTPRequest, TBXML, 
xml, 0.02568900585174561, 150, 0.1451699733734131, 79822, ASIHTTPRequest, TBXML, 
xml, 0.03247696161270142, 200, 0.1520749926567078, 106337, ASIHTTPRequest, TBXML, 
xml, 0.02010101079940796, 50, 0.1090599894523621, 26253, ASIHTTPRequest, KissXML, 
xml, 0.04181802272796631, 100, 0.1213669776916504, 52919, ASIHTTPRequest, KissXML, 
xml, 0.05993199348449707, 150, 0.1460140347480774, 79000, ASIHTTPRequest, KissXML, 
xml, 0.07881200313568115, 200, 0.1622160077095032, 105799, ASIHTTPRequest, KissXML, 
xml, 0.04956299066543579, 50, 0.1110549569129944, 26481, ASIHTTPRequest, TinyXML, 
xml, 0.1010230183601379, 100, 0.1371729969978333, 52966, ASIHTTPRequest, TinyXML, 
xml, 0.1493620276451111, 150, 0.1489920020103455, 79229, ASIHTTPRequest, TinyXML, 
xml, 0.1978060007095337, 200, 0.1690210103988647, 105455, ASIHTTPRequest, TinyXML, 
xml, 0.02217000722885132, 50, 0.1199740171432495, 26695, ASIHTTPRequest, GoogleXML, 
xml, 0.04691600799560547, 100, 0.1346679925918579, 52772, ASIHTTPRequest, GoogleXML, 
xml, 0.06740498542785645, 150, 0.1373749971389771, 78526, ASIHTTPRequest, GoogleXML, 
xml, 0.08516401052474976, 200, 0.1529600024223328, 105945, ASIHTTPRequest, GoogleXML, 
xml, 0.03767699003219604, 50, 0.1163319945335388, 26337, ASIHTTPRequest, APXML, 
xml, 0.06821399927139282, 100, 0.1246060132980347, 52587, ASIHTTPRequest, APXML, 
xml, 0.09990596771240234, 150, 0.1380780339241028, 79476, ASIHTTPRequest, APXML, 
xml, 0.1340969800949097, 200, 0.1527379751205444, 106258, ASIHTTPRequest, APXML, 
pbuf, 0.01194703578948975, 50, 0.1279039978981018, 13768, ASIHTTPRequest, ProtocolBuffer, 
pbuf, 0.01553398370742798, 100, 0.1374799609184265, 27504, ASIHTTPRequest, ProtocolBuffer, 
pbuf, 0.02823501825332642, 150, 0.152059018611908, 41042, ASIHTTPRequest, ProtocolBuffer, 
pbuf, 0.03433096408843994, 200, 0.1736830472946167, 55232, ASIHTTPRequest, ProtocolBuffer, 
xml, 0.03175300359725952, 50, 0.1173750162124634, 26397, ASIHTTPRequest, AQXMLParser, 
xml, 0.06127101182937622, 100, 0.1286960244178772, 52902, ASIHTTPRequest, AQXMLParser, 
xml, 0.09240400791168213, 150, 0.1416019797325134, 79439, ASIHTTPRequest, AQXMLParser, 
xml, 0.1243189573287964, 200, 0.16000896692276, 105977, ASIHTTPRequest, AQXMLParser, 
soap, 0.02273398637771606, 50, 0.1828650236129761, 41997, SOAP, SOAP, 
soap, 0.04466700553894043, 100, 0.260903000831604, 83579, SOAP, SOAP, 
soap, 0.0627630352973938, 150, 0.4230849742889404, 125382, SOAP, SOAP, 
soap, 0.08129203319549561, 200, 0.5452919602394104, 166789, SOAP, SOAP, 
