format, deserializerTime, limit, loaderTime, dataLength, dataLoader, deserializer, 
xml, 0.1032630205154419, 200, 0.6315110325813293, 105762, ASIHTTPRequest, NSXMLParser, 
xml, 0.0235140323638916, 50, 0.2612900137901306, 26453, ASIHTTPRequest, TouchXML, 
xml, 0.04285001754760742, 100, 0.354716956615448, 52943, ASIHTTPRequest, TouchXML, 
xml, 0.0615999698638916, 150, 0.4529930353164673, 79313, ASIHTTPRequest, TouchXML, 
xml, 0.08105599880218506, 200, 0.5461480021476746, 105423, ASIHTTPRequest, TouchXML, 
xml, 0.01565200090408325, 50, 0.257968008518219, 26647, ASIHTTPRequest, LibXMLDom, 
xml, 0.0289120078086853, 100, 0.3827210068702698, 52937, ASIHTTPRequest, LibXMLDom, 
xml, 0.04023003578186035, 150, 0.4737449884414673, 79458, ASIHTTPRequest, LibXMLDom, 
xml, 0.05515801906585693, 200, 0.5396659970283508, 106187, ASIHTTPRequest, LibXMLDom, 
xml, 0.01902198791503906, 50, 0.2421509623527527, 26661, ASIHTTPRequest, LibXMLSAX, 
xml, 0.04404503107070923, 100, 0.3664869666099548, 52938, ASIHTTPRequest, LibXMLSAX, 
xml, 0.061210036277771, 150, 0.4634180068969727, 79371, ASIHTTPRequest, LibXMLSAX, 
xml, 0.08540195226669312, 200, 0.5254960060119629, 105500, ASIHTTPRequest, LibXMLSAX, 
csv, 0.0226929783821106, 50, 0.2121250033378601, 13766, ASIHTTPRequest, CSV, 
csv, 0.03941905498504639, 100, 0.2765589952468872, 26796, ASIHTTPRequest, CSV, 
csv, 0.04925298690795898, 150, 0.3863529562950134, 40133, ASIHTTPRequest, CSV, 
csv, 0.06054496765136719, 200, 0.3709509968757629, 53823, ASIHTTPRequest, CSV, 
xml, 0.008107960224151611, 50, 0.2442899942398071, 26697, ASIHTTPRequest, TBXML, 
xml, 0.01470595598220825, 100, 0.3574320077896118, 52896, ASIHTTPRequest, TBXML, 
xml, 0.0249670147895813, 150, 0.5929590463638306, 79691, ASIHTTPRequest, TBXML, 
xml, 0.03343695402145386, 200, 0.5822910070419312, 106411, ASIHTTPRequest, TBXML, 
xml, 0.02331703901290894, 50, 0.2644319534301758, 26782, ASIHTTPRequest, KissXML, 
xml, 0.03935003280639648, 100, 0.3463299870491028, 53034, ASIHTTPRequest, KissXML, 
xml, 0.05534100532531738, 150, 0.5461779832839966, 79146, ASIHTTPRequest, KissXML, 
xml, 0.07687300443649292, 200, 0.633512020111084, 106063, ASIHTTPRequest, KissXML, 
xml, 0.05160999298095703, 50, 0.2883120179176331, 26800, ASIHTTPRequest, TinyXML, 
xml, 0.1023110151290894, 100, 0.3566029667854309, 53009, ASIHTTPRequest, TinyXML, 
xml, 0.1483519673347473, 150, 0.5336399674415588, 79251, ASIHTTPRequest, TinyXML, 
xml, 0.1963689923286438, 200, 0.5590800046920776, 106290, ASIHTTPRequest, TinyXML, 
xml, 0.02692699432373047, 50, 0.3516970276832581, 26557, ASIHTTPRequest, GoogleXML, 
xml, 0.04492002725601196, 100, 0.3502159714698792, 52555, ASIHTTPRequest, GoogleXML, 
xml, 0.06553101539611816, 150, 0.552154004573822, 79405, ASIHTTPRequest, GoogleXML, 
xml, 0.08802998065948486, 200, 0.5663269758224487, 105662, ASIHTTPRequest, GoogleXML, 
xml, 0.03294402360916138, 50, 0.2745519876480103, 26665, ASIHTTPRequest, APXML, 
xml, 0.06431502103805542, 100, 0.3646190166473389, 52942, ASIHTTPRequest, APXML, 
xml, 0.1000590324401855, 150, 0.5324250459671021, 79667, ASIHTTPRequest, APXML, 
xml, 0.1343159675598145, 200, 0.6079930067062378, 106055, ASIHTTPRequest, APXML, 
pbuf, 0.009804010391235352, 50, 0.2321839928627014, 13713, ASIHTTPRequest, ProtocolBuffer, 
pbuf, 0.01605898141860962, 100, 0.275862991809845, 27527, ASIHTTPRequest, ProtocolBuffer, 
pbuf, 0.02573102712631226, 150, 0.4426720142364502, 41302, ASIHTTPRequest, ProtocolBuffer, 
pbuf, 0.03177201747894287, 200, 0.4312430024147034, 55351, ASIHTTPRequest, ProtocolBuffer, 
xml, 0.02904200553894043, 50, 0.2940509915351868, 26278, ASIHTTPRequest, AQXMLParser, 
xml, 0.06316500902175903, 100, 0.4293989539146423, 52875, ASIHTTPRequest, AQXMLParser, 
xml, 0.092399001121521, 150, 0.514415979385376, 79170, ASIHTTPRequest, AQXMLParser, 
xml, 0.1252480149269104, 200, 0.6039820313453674, 105960, ASIHTTPRequest, AQXMLParser, 
soap, 0.02625095844268799, 50, 0.6421759724617004, 41997, SOAP, SOAP, 
soap, 0.04449701309204102, 100, 0.4489549994468689, 83579, SOAP, SOAP, 
soap, 0.06227695941925049, 150, 0.5844489932060242, 125382, SOAP, SOAP, 
soap, 0.08326202630996704, 200, 2.274759948253632, 166789, SOAP, SOAP, 
